emp_id,emp_name,dept_name,salary,hire_date,bonus
1,Employee_1,Support,99270,2022-04-19 23:45:07,7412.06
2,Employee_2,Marketing,58613,2023-05-31 12:22:03,1343.54
3,Employee_3,Operations,53179,2020-06-05 16:23:54,8606.27
4,Employee_4,Support,77188,2020-02-22 14:24:15,11447.66
5,Employee_5,HR,80099,2018-02-14 20:25:02,12772.07
6,Employee_6,Operations,60262,2018-06-20 05:36:23,13606.32
7,Employee_7,Operations,103213,2024-10-04 22:45:44,16889.53
8,Employee_8,Support,43268,2020-03-15 13:22:06,5093.8
9,Employee_9,Finance,102866,2015-03-17 10:59:45,3289.15
10,Employee_10,HR,111269,2023-10-07 00:20:18,17179.21
11,Employee_11,Support,85545,2015-09-07 20:54:47,3975.64
12,Employee_12,HR,117822,2023-03-07 09:48:37,19520.44
13,Employee_13,HR,97146,2020-01-09 23:40:25,17008.23
14,Employee_14,Operations,96966,2019-01-19 16:37:28,10516.66
15,Employee_15,Marketing,64922,2015-02-28 12:22:49,19647.01
16,Employee_16,HR,104364,2018-01-24 07:11:15,2850.16
17,Employee_17,Sales,67913,2015-07-12 06:48:31,6758.25
18,Employee_18,Operations,80677,2018-02-19 08:31:35,13126.26
19,Employee_19,Finance,74841,2022-02-07 12:04:34,7650.13
20,Employee_20,Marketing,71332,2018-12-30 11:34:26,18639.08
21,Employee_21,Sales,117062,2021-01-09 12:16:23,2246.9
22,Employee_22,Sales,50032,2024-03-04 20:41:40,11438.82
23,Employee_23,Finance,62846,2015-12-17 08:43:37,12226.46
24,Employee_24,Marketing,84474,2024-01-21 08:51:38,13401.83
25,Employee_25,Operations,69936,2022-07-27 03:58:07,5857.66
26,Employee_26,IT,54794,2019-08-28 09:33:36,7926.76
27,Employee_27,Marketing,86588,2015-12-08 21:43:42,17029.93
28,Employee_28,Finance,95984,2020-03-30 00:26:28,4703.91
29,Employee_29,Sales,75331,2019-12-05 09:17:13,16710.49
30,Employee_30,Operations,119397,2018-09-24 08:56:01,11690.45
31,Employee_31,Marketing,53141,2016-04-21 13:36:30,15481.56
32,Employee_32,IT,34074,2017-10-19 04:25:55,14558.54
33,Employee_33,IT,31406,2016-01-07 01:25:31,4942.72
34,Employee_34,HR,48291,2019-08-26 20:40:54,11807.44
35,Employee_35,HR,66568,2021-02-18 13:24:19,17486.74
36,Employee_36,Support,71851,2023-09-11 09:31:02,9210.21
37,Employee_37,Finance,79823,2021-08-25 16:49:51,19365.22
38,Employee_38,Marketing,48312,2023-12-28 15:39:34,9592.09
39,Employee_39,Marketing,68108,2017-12-11 09:23:12,3712.93
40,Employee_40,Support,91918,2023-11-09 01:16:37,8399.26
41,Employee_41,Sales,59171,2023-12-06 11:34:48,19082.35
42,Employee_42,Sales,66779,2023-02-12 08:17:33,7074.7
43,Employee_43,Support,93828,2023-11-17 03:26:58,17493.87
44,Employee_44,Sales,37411,2022-06-24 22:59:36,17743.76
45,Employee_45,HR,82009,2024-11-12 17:29:23,7653.54
46,Employee_46,Marketing,40422,2021-07-31 03:30:28,2581.9
47,Employee_47,Support,67468,2019-04-13 15:10:24,14766.6
48,Employee_48,Marketing,57371,2020-03-01 06:33:09,6918.73
49,Employee_49,IT,82022,2022-10-12 02:22:52,15875.55
50,Employee_50,HR,96229,2021-10-18 15:12:57,9410.44
51,Employee_51,Operations,76196,2016-08-23 23:17:01,10220.07
52,Employee_52,HR,105354,2023-01-04 03:31:57,15780.28
53,Employee_53,Support,51715,2015-12-26 19:27:20,8264.9
54,Employee_54,Operations,52605,2020-05-12 20:37:40,9419.42
55,Employee_55,IT,56174,2017-01-21 15:08:41,8147.62
56,Employee_56,Support,34956,2021-05-10 06:07:00,7979.47
57,Employee_57,Finance,101373,2018-09-24 17:01:36,10992.98
58,Employee_58,Marketing,94252,2021-02-27 08:23:06,16367.19
59,Employee_59,IT,86949,2017-01-24 10:43:34,7873.6
60,Employee_60,Marketing,87646,2019-08-01 07:33:23,10960.84
61,Employee_61,Sales,95017,2022-09-12 08:38:41,13743.82
62,Employee_62,Finance,88037,2024-08-29 11:39:07,6119.35
63,Employee_63,Finance,114818,2024-01-24 23:10:13,6272.93
64,Employee_64,IT,31548,2018-02-24 10:41:43,18734.85
